dataset,sequence,method,method_id,cache_policy,cache_window_size,status,num_frames,ate,rpe_trans,rpe_rot_deg,align_scale,inference_sec,fps_inference,peak_allocated_mib,peak_reserved_mib
tum,rgbd_dataset_freiburg3_sitting_halfsphere,K6,k6,anchor_recent_dino_diverse_k6,6,ok,90,0.014239297789468433,0.010371248506473649,0.3490399050682993,2.251830226640862,7.8096075870562345,11.524266616054744,9002.40478515625,10002.0
tum,rgbd_dataset_freiburg3_sitting_halfsphere,K8,k8,anchor_recent_dino_diverse_k8,8,ok,90,0.012280345108778037,0.009734523650086662,0.34380888839969875,2.214833756404611,8.196698935003951,10.980029974707936,9383.80859375,10632.0
tum,rgbd_dataset_freiburg3_sitting_rpy,Full cache,full_cache,full_cache,,ok,90,0.027500351696629743,0.010774073580940428,0.38530197703493096,2.175759962999687,20.556642640964128,4.378146839049147,17479.05224609375,43982.0
tum,rgbd_dataset_freiburg3_sitting_rpy,K4,k4,anchor_recent_dino_diverse_k4,4,ok,90,0.024359596588730936,0.010520280557194464,0.4161361298434704,1.955817340052875,7.168299951939844,12.555278183587271,8626.92626953125,9464.0
tum,rgbd_dataset_freiburg3_sitting_rpy,K6,k6,anchor_recent_dino_diverse_k6,6,ok,90,0.02420141883975874,0.01052861599849933,0.410058653572905,1.9569667174663512,6.712068311055191,13.408683557609871,9004.71142578125,9928.0
tum,rgbd_dataset_freiburg3_sitting_rpy,K8,k8,anchor_recent_dino_diverse_k8,8,ok,90,0.022590732365886157,0.01062607474710034,0.4147975986576426,2.149077047092466,7.2766625608783215,12.368307482590845,9384.3486328125,10632.0
tum,rgbd_dataset_freiburg3_sitting_static,Full cache,full_cache,full_cache,,ok,90,0.011741603134145762,0.008347852301582543,0.22314071377773684,2.9951837797388086,21.16377658699639,4.252549143582365,17479.05224609375,43982.0
tum,rgbd_dataset_freiburg3_sitting_static,K4,k4,anchor_recent_dino_diverse_k4,4,ok,90,0.00971552900623484,0.008805568649399093,0.23279273421284993,2.753493277567625,6.411928757908754,14.036338112613938,8626.92626953125,9464.0
tum,rgbd_dataset_freiburg3_sitting_static,K6,k6,anchor_recent_dino_diverse_k6,6,ok,90,0.01067070976903138,0.0082798978197629,0.23006467794476745,2.724910576733563,7.461930491030216,12.061221973078757,9004.71142578125,9928.0
tum,rgbd_dataset_freiburg3_sitting_static,K8,k8,anchor_recent_dino_diverse_k8,8,ok,90,0.012902056083763873,0.008002407463814023,0.2236584922834619,2.7200316623166785,8.188028395874426,10.991657044734591,9384.3486328125,10632.0
tum,rgbd_dataset_freiburg3_sitting_xyz,Full cache,full_cache,full_cache,,ok,90,0.013902894953666006,0.010815316826931558,0.27156821515098317,3.771857111993447,20.53354670095723,4.3830713373936705,17479.05224609375,43982.0
tum,rgbd_dataset_freiburg3_sitting_xyz,K4,k4,anchor_recent_dino_diverse_k4,4,ok,90,0.022286018824211294,0.014326247470122773,0.276311722254659,3.913387567861387,6.595511874067597,13.645642933926677,8626.92626953125,9464.0
tum,rgbd_dataset_freiburg3_sitting_xyz,K6,k6,anchor_recent_dino_diverse_k6,6,ok,90,0.02684103065177645,0.013187524054594882,0.27285999481097395,3.903250641550834,6.731407925020903,13.370159853998228,9004.71142578125,9928.0
tum,rgbd_dataset_freiburg3_sitting_xyz,K8,k8,anchor_recent_dino_diverse_k8,8,ok,90,0.026234143463789217,0.012891255088448954,0.27341194440871425,3.946364156734467,7.333194367121905,12.272959844554446,9384.3486328125,10632.0
tum,rgbd_dataset_freiburg3_walking_halfsphere,Full cache,full_cache,full_cache,,ok,90,0.0501147902957141,0.01822017368974637,0.3849026609134956,4.1797766822777636,21.209192027919926,4.243443120394374,17479.05224609375,43982.0
